time,frequency,confidence
0.000,656.799,0.056316
0.010,641.984,0.118694
0.020,634.904,0.134556
0.030,585.688,0.139302
0.040,586.825,0.149899
0.050,594.046,0.109637
0.060,589.214,0.107666
0.070,584.432,0.060256
0.080,594.554,0.101803
0.090,656.761,0.104377
0.100,596.960,0.079117
0.110,595.084,0.063815
0.120,602.324,0.087891
0.130,607.781,0.086929
0.140,615.516,0.094763
0.150,627.616,0.101598
0.160,642.350,0.121979
0.170,652.550,0.117617
0.180,659.454,0.073081
0.190,640.531,0.058516
0.200,600.178,0.046777
0.210,586.343,0.112135
0.220,585.213,0.080133
0.230,583.341,0.081862
0.240,583.658,0.061307
0.250,588.756,0.125290
0.260,590.830,0.178422
0.270,596.994,0.127250
0.280,597.083,0.139408
0.290,596.518,0.029286
0.300,599.282,0.011622
0.310,611.059,0.008859
0.320,611.218,0.074166
0.330,615.603,0.064964
0.340,623.801,0.075434
0.350,634.355,0.084232
0.360,647.336,0.071133
0.370,658.539,0.083530
0.380,657.220,0.080988
0.390,643.310,0.058324
0.400,646.658,0.109073
0.410,631.644,0.034615
0.420,612.029,0.227863
0.430,590.835,0.058937
0.440,584.235,0.086077
0.450,588.744,0.096182
0.460,584.804,0.107478
0.470,587.647,0.053133
0.480,591.521,0.089513
0.490,597.468,0.106278
0.500,622.507,0.089726
0.510,623.171,0.070008
0.520,632.497,0.075017
0.530,645.730,0.078926
0.540,649.550,0.091892
0.550,644.476,0.021534
0.560,641.939,0.046497
0.570,652.761,0.071275
0.580,659.798,0.061382
0.590,646.122,0.070187
0.600,589.606,0.097504
0.610,590.056,0.053178
0.620,589.436,0.055778
0.630,597.835,0.051438
0.640,613.620,0.025885
0.650,634.448,0.008070
0.660,643.785,0.017801
0.670,652.486,0.047644
0.680,687.703,0.034838
0.690,747.571,0.011338
0.700,798.711,0.018772
0.710,766.515,0.040633
0.720,721.222,0.144317
0.730,686.046,0.023810
0.740,669.474,0.055689
0.750,647.645,0.083534
0.760,649.972,0.092834
0.770,648.710,0.057370
0.780,639.703,0.113570
0.790,634.832,0.258771
0.800,633.370,0.147740
0.810,634.107,0.087384
0.820,643.421,0.082788
0.830,649.317,0.027898
0.840,641.539,0.042417
0.850,584.960,0.086315
0.860,596.585,0.178943
0.870,596.777,0.155159
0.880,597.966,0.138937
0.890,598.134,0.082145
0.900,602.144,0.070185
0.910,608.638,0.100405
0.920,608.613,0.359649
0.930,616.505,0.078456
0.940,622.671,0.022957
0.950,623.716,0.039587
0.960,629.533,0.048325
0.970,639.015,0.141673
0.980,645.631,0.106414
0.990,640.594,0.157385
1.000,645.986,0.144605
1.010,645.623,0.153597
1.020,684.258,0.076423
1.030,730.117,0.105315
1.040,782.271,0.065017
1.050,725.757,0.046003
1.060,687.662,0.087919
1.070,652.013,0.111782
1.080,622.775,0.078450
1.090,633.866,0.110964
1.100,642.863,0.097407
1.110,642.253,0.114329
1.120,590.500,0.114434
1.130,590.926,0.113858
1.140,596.409,0.119362
1.150,597.621,0.115866
1.160,631.185,0.126813
1.170,647.475,0.065129
1.180,645.535,0.046851
1.190,642.171,0.069790
1.200,640.159,0.105964
1.210,640.867,0.115883
1.220,643.254,0.110147
1.230,585.974,0.161531
1.240,586.515,0.148480
1.250,589.923,0.104458
1.260,593.914,0.190315
1.270,599.629,0.109249
1.280,609.226,0.087793
1.290,614.920,0.069600
1.300,625.284,0.053925
1.310,634.921,0.067538
1.320,646.219,0.115829
1.330,648.132,0.059991
1.340,649.429,0.139718
1.350,641.184,0.196794
1.360,633.125,0.081622
1.370,634.840,0.022503
1.380,635.054,0.013665
1.390,634.939,0.117208
1.400,634.647,0.077561
1.410,635.424,0.123911
1.420,636.551,0.074420
1.430,635.833,0.067282
1.440,633.224,0.036202
1.450,636.343,0.071350
1.460,636.919,0.100447
1.470,644.644,0.102191
1.480,609.385,0.098038
1.490,585.549,0.096971
1.500,584.453,0.087709
1.510,583.688,0.113613
1.520,588.814,0.130115
1.530,652.316,0.121400
1.540,594.697,0.132793
1.550,550.822,0.142092
1.560,507.528,0.106133
1.570,468.195,0.076464
1.580,468.227,0.075918
1.590,493.979,0.122245
1.600,520.321,0.126545
1.610,562.967,0.069328
1.620,608.266,0.063193
1.630,645.562,0.108398
1.640,618.301,0.080001
1.650,595.252,0.081817
1.660,594.611,0.129335
1.670,647.092,0.089545
1.680,589.316,0.099612
1.690,597.728,0.146204
1.700,659.121,0.272909
1.710,659.970,0.184114
1.720,679.361,0.090694
1.730,694.666,0.050840
1.740,702.057,0.055125
1.750,725.668,0.048835
1.760,763.761,0.023118
1.770,789.249,0.008199
1.780,779.906,0.006693
1.790,754.803,0.064772
1.800,717.153,0.174694
1.810,696.389,0.110161
1.820,677.679,0.087208
1.830,662.031,0.016113
1.840,646.645,0.047749
1.850,633.333,0.030061
1.860,632.330,0.067629
1.870,589.069,0.105266
1.880,585.864,0.146536
1.890,592.094,0.179095
1.900,593.093,0.142146
1.910,595.829,0.109147
1.920,599.145,0.110465
1.930,599.538,0.055565
1.940,599.930,0.041771
1.950,608.536,0.062129
1.960,612.324,0.129585
1.970,604.545,0.035966
1.980,612.372,0.086084
1.990,618.603,0.075885
2.000,625.318,0.066985
2.010,632.851,0.051826
2.020,636.955,0.049470
2.030,641.360,0.155199
2.040,643.792,0.139574
2.050,590.596,0.095650
2.060,589.756,0.108941
2.070,596.818,0.077496
2.080,611.708,0.045630
2.090,633.562,0.048708
2.100,584.135,0.070032
2.110,585.230,0.144672
2.120,588.292,0.094663
2.130,525.963,0.161906
2.140,450.448,0.198578
2.150,402.265,0.104917
2.160,369.327,0.053009
2.170,322.573,0.091546
2.180,329.359,0.104706
2.190,304.629,0.119356
2.200,330.633,0.080585
2.210,326.746,0.078126
2.220,341.370,0.055268
