time,frequency,confidence
0.000,637.098,0.065806
0.010,636.979,0.125862
0.020,635.883,0.076223
0.030,639.085,0.035201
0.040,637.943,0.047306
0.050,637.214,0.055061
0.060,637.449,0.092347
0.070,640.377,0.088604
0.080,589.445,0.097873
0.090,589.217,0.123405
0.100,651.224,0.147685
0.110,656.392,0.088373
0.120,664.123,0.036588
0.130,656.499,0.006353
0.140,650.711,0.072404
0.150,652.728,0.193822
0.160,659.705,0.066371
0.170,658.020,0.069428
0.180,655.711,0.076668
0.190,655.093,0.084429
0.200,661.324,0.044807
0.210,659.203,0.038913
0.220,658.684,0.228092
0.230,653.305,0.038872
0.240,649.093,0.163747
0.250,645.961,0.134865
0.260,644.210,0.073732
0.270,650.742,0.096882
0.280,651.609,0.173856
0.290,650.336,0.058728
0.300,648.301,0.058425
0.310,646.968,0.105212
0.320,652.870,0.158921
0.330,655.371,0.075616
0.340,651.992,0.018769
0.350,655.133,0.012297
0.360,653.476,0.013515
0.370,654.917,0.026292
0.380,655.634,0.061619
0.390,655.181,0.009863
0.400,646.625,0.040024
0.410,647.082,0.095857
0.420,650.234,0.061878
0.430,656.387,0.106908
0.440,644.298,0.092952
0.450,644.135,0.115504
0.460,585.982,0.169554
0.470,594.655,0.172832
0.480,652.820,0.087627
0.490,706.169,0.033555
0.500,771.988,0.014933
0.510,780.996,0.015619
0.520,781.985,0.031589
0.530,770.428,0.053678
0.540,749.915,0.074556
0.550,723.586,0.043911
0.560,702.602,0.130707
0.570,685.008,0.112764
0.580,673.976,0.110879
0.590,658.885,0.056531
0.600,644.287,0.105670
0.610,636.826,0.107146
0.620,646.203,0.080112
0.630,644.259,0.059484
0.640,634.037,0.031107
0.650,633.606,0.032111
0.660,636.779,0.179271
0.670,635.461,0.108226
0.680,634.322,0.126608
0.690,636.122,0.146565
0.700,637.308,0.089117
0.710,636.753,0.041414
0.720,639.848,0.034891
0.730,643.488,0.122165
0.740,638.384,0.022841
0.750,633.513,0.029174
0.760,588.601,0.057785
0.770,589.440,0.062750
0.780,622.018,0.062723
0.790,659.723,0.035786
0.800,658.927,0.051111
0.810,652.449,0.037054
0.820,640.696,0.069148
0.830,633.171,0.099833
0.840,627.923,0.053729
0.850,627.061,0.098349
0.860,641.532,0.060842
0.870,595.015,0.105346
0.880,593.772,0.126901
0.890,590.718,0.077978
0.900,588.513,0.070429
0.910,587.758,0.098649
0.920,589.909,0.078328
0.930,650.921,0.063708
0.940,657.483,0.065239
0.950,660.913,0.053949
0.960,660.942,0.062264
0.970,659.926,0.087763
0.980,655.204,0.065404
0.990,654.469,0.084802
1.000,656.912,0.041181
1.010,658.696,0.105127
1.020,633.069,0.117465
1.030,637.508,0.102045
1.040,586.245,0.167160
1.050,585.690,0.168143
1.060,587.814,0.108520
1.070,606.207,0.090780
1.080,639.260,0.108790
1.090,658.940,0.075416
1.100,665.523,0.025610
1.110,658.171,0.022005
1.120,655.646,0.026137
1.130,652.406,0.053545
1.140,648.325,0.066586
1.150,647.950,0.040503
1.160,653.892,0.054159
1.170,659.317,0.095308
1.180,661.243,0.091409
1.190,654.409,0.090352
1.200,653.208,0.100378
1.210,651.713,0.068312
1.220,648.322,0.102450
1.230,634.548,0.050069
1.240,615.853,0.054268
1.250,603.212,0.118692
1.260,595.645,0.125281
1.270,585.702,0.085632
1.280,531.463,0.103395
1.290,534.934,0.105265
