time,frequency,confidence
2.450,219.001,0.931522
2.460,218.963,0.927873
2.470,219.072,0.931084
2.480,218.905,0.933678
2.490,218.997,0.930717
2.500,218.967,0.932826
2.510,219.151,0.920897
2.520,219.299,0.921655
2.530,219.074,0.927594
2.540,219.321,0.911509
2.550,219.297,0.917280
2.560,219.218,0.920433
2.570,219.251,0.916826
2.580,219.240,0.918442
2.590,219.332,0.912521
2.600,219.495,0.913210
2.610,219.426,0.913755
2.620,219.358,0.903762
2.630,219.306,0.913343
2.640,219.219,0.908033
2.650,219.387,0.904669
2.660,219.023,0.917751
2.670,219.219,0.894600
2.680,219.524,0.917746
2.690,219.415,0.902594
2.700,219.261,0.899032
2.710,219.172,0.914270
2.720,219.354,0.911512
2.730,219.365,0.915177
2.740,219.235,0.918398
2.750,219.472,0.916548
2.760,219.390,0.915419
2.770,219.645,0.930619
2.780,220.233,0.937370
2.790,222.532,0.814807
2.800,225.080,0.739421
2.810,223.672,0.656079
2.820,221.543,0.723459
2.830,218.296,0.863063
2.840,218.111,0.901155
2.850,219.842,0.814635
2.860,218.640,0.539393
2.870,201.157,0.379162
2.880,200.312,0.562429
2.890,196.827,0.821153
2.900,195.970,0.922126
2.910,195.409,0.939745
2.920,195.202,0.949501
2.930,195.422,0.942002
2.940,195.455,0.936126
2.950,195.287,0.940239
2.960,195.284,0.943202
2.970,195.367,0.942693
2.980,195.432,0.938267
2.990,195.359,0.937721
3.000,195.299,0.935078
3.010,195.438,0.935081
3.020,195.497,0.935348
3.030,195.272,0.937393
3.040,195.252,0.931229
3.050,195.466,0.932858
3.060,195.609,0.927262
3.070,195.263,0.925768
3.080,195.259,0.923942
3.090,195.625,0.921878
3.100,195.643,0.919037
3.110,195.174,0.930402
3.120,195.282,0.915664
3.130,195.898,0.912673
3.140,195.460,0.923429
3.150,195.008,0.931081
3.160,195.219,0.918692
3.170,195.791,0.917291
3.180,195.496,0.926867
3.190,195.130,0.930746
3.200,195.222,0.926325
3.210,195.429,0.924025
3.220,195.031,0.937023
3.230,194.892,0.939966
3.240,195.371,0.926885
3.250,195.497,0.907561
3.260,194.842,0.932560
3.270,194.714,0.934346
3.280,195.120,0.927435
3.290,195.326,0.930984
3.300,195.017,0.932114
3.310,195.042,0.938125
3.320,195.345,0.922304
3.330,195.199,0.921605
3.340,194.914,0.932440
3.350,195.056,0.936857
3.360,195.179,0.938015
3.370,195.151,0.927812
3.380,195.185,0.928552
3.390,195.261,0.926269
3.400,195.729,0.892634
3.410,197.157,0.867473
3.420,201.730,0.523955
3.430,209.015,0.692550
3.440,209.988,0.734104
3.450,205.978,0.721797
3.460,203.445,0.777899
3.470,204.796,0.650799
3.480,210.732,0.535493
3.490,219.287,0.625831
3.500,221.816,0.749923
3.510,222.008,0.788650
3.520,223.601,0.803183
3.530,224.878,0.839195
3.540,222.767,0.861434
3.550,220.565,0.881323
3.560,218.800,0.909127
3.570,218.355,0.937367
3.580,219.314,0.906865
3.590,219.838,0.937780
3.600,219.881,0.937586
3.610,219.358,0.914472
3.620,218.763,0.927541
3.630,218.976,0.921298
3.640,219.116,0.927457
3.650,218.873,0.935396
3.660,218.793,0.935495
3.670,218.925,0.935352
3.680,218.965,0.933687
3.690,218.949,0.936235
3.700,218.823,0.939413
3.710,218.737,0.942129
3.720,218.573,0.947834
3.730,218.319,0.949273
3.740,218.615,0.944200
3.750,218.629,0.946139
3.760,218.727,0.941561
3.770,218.821,0.940096
3.780,218.558,0.947559
3.790,218.715,0.940493
3.800,218.964,0.937211
3.810,218.753,0.941831
3.820,218.897,0.935033
3.830,218.850,0.940733
3.840,218.724,0.941582
3.850,218.788,0.938592
3.860,218.828,0.939202
3.870,218.792,0.939813
3.880,218.503,0.947096
3.890,218.063,0.949790
3.900,218.345,0.939547
3.910,218.778,0.932539
3.920,218.822,0.924574
3.930,218.839,0.922697
3.940,218.714,0.930348
3.950,218.732,0.927758
3.960,218.896,0.931751
3.970,218.826,0.935441
3.980,218.763,0.934561
3.990,218.560,0.946415
4.000,218.374,0.948887
4.010,218.593,0.943721
4.020,218.576,0.945148
4.030,218.762,0.936310
4.040,218.958,0.933804
4.050,218.617,0.944514
4.060,218.414,0.946658
4.070,218.313,0.947436
4.080,218.467,0.947033
4.090,218.490,0.938486
4.100,218.441,0.940643
4.110,218.106,0.936652
4.120,218.598,0.927096
4.130,218.860,0.927231
4.140,218.995,0.915509
4.150,218.968,0.920423
4.160,218.506,0.935448
4.170,218.366,0.938302
4.180,218.336,0.943047
4.190,218.348,0.946778
4.200,218.801,0.932232
4.210,218.950,0.931660
4.220,218.644,0.936843
4.230,218.534,0.935770
4.240,218.541,0.939475
4.250,218.555,0.930055
4.260,218.697,0.928293
4.270,218.279,0.940548
4.280,218.254,0.946264
4.290,218.259,0.945022
4.300,218.489,0.945438
4.310,218.822,0.937539
4.320,218.755,0.942557
4.330,218.751,0.940982
4.340,219.026,0.930778
4.350,218.955,0.934067
4.360,218.885,0.928854
4.370,218.966,0.927884
4.380,218.859,0.929599
4.390,219.028,0.925501
4.400,218.947,0.931269
4.410,219.000,0.921370
4.420,219.100,0.918755
4.430,219.058,0.924502
4.440,219.037,0.920205
4.450,219.079,0.920902
4.460,218.974,0.923208
4.470,219.103,0.909385
4.480,219.055,0.922463
4.490,218.829,0.924500
4.500,219.052,0.919691
4.510,219.063,0.930000
4.520,219.009,0.927230
4.530,218.989,0.924981
4.540,218.765,0.934460
4.550,218.720,0.936883
4.560,218.645,0.943316
4.570,218.392,0.945225
4.580,218.527,0.944598
4.590,218.737,0.940797
4.600,218.885,0.931344
4.610,218.895,0.932791
4.620,218.627,0.941474
4.630,218.770,0.933658
4.640,218.812,0.933772
4.650,218.585,0.933855
4.660,218.906,0.923039
4.670,218.888,0.930967
4.680,218.739,0.928787
4.690,218.887,0.922471
4.700,218.829,0.925284
4.710,218.805,0.920023
4.720,218.878,0.922824
4.730,218.693,0.929993
4.740,218.663,0.928135
4.750,218.476,0.942691
4.760,218.458,0.943905
4.770,218.937,0.933378
4.780,218.874,0.935107
4.790,218.636,0.938510
4.800,218.411,0.939578
4.810,218.251,0.933246
4.820,218.353,0.929527
4.830,218.175,0.933474
4.840,217.795,0.935602
4.850,217.743,0.938098
4.860,218.050,0.946371
4.870,218.044,0.943481
4.880,218.454,0.935503
4.890,218.615,0.934448
4.900,218.724,0.930577
4.910,218.797,0.927717
4.920,218.459,0.934692
4.930,218.433,0.928387
4.940,218.663,0.929218
4.950,218.540,0.934248
4.960,218.570,0.929851
4.970,218.734,0.933246
4.980,218.633,0.928443
4.990,218.826,0.922056
5.000,218.811,0.929409
5.010,218.847,0.920400
5.020,218.962,0.909360
5.030,218.664,0.919916
5.040,218.836,0.915997
5.050,218.884,0.920259
5.060,218.927,0.915181
5.070,219.118,0.912495
5.080,219.073,0.921610
5.090,219.053,0.924830
5.100,218.903,0.930415
5.110,219.048,0.925413
5.120,219.339,0.908477
5.130,219.108,0.926127
5.140,218.982,0.924499
5.150,219.111,0.915064
5.160,219.097,0.919798
5.170,219.061,0.911232
5.180,219.004,0.919799
5.190,218.765,0.929503
5.200,218.742,0.928982
5.210,218.899,0.929117
5.220,218.877,0.929245
5.230,219.075,0.918751
5.240,219.096,0.919376
5.250,219.017,0.918045
5.260,218.886,0.926457
5.270,218.870,0.927862
5.280,219.219,0.906951
5.290,219.223,0.911905
5.300,218.987,0.913503
5.310,219.136,0.906886
5.320,219.073,0.916614
5.330,219.112,0.909159
5.340,219.371,0.902824
5.350,219.082,0.911689
5.360,219.026,0.913244
5.370,218.971,0.924944
5.380,218.903,0.925091
5.390,218.963,0.921207
5.400,218.917,0.923660
5.410,218.930,0.918251
5.420,218.995,0.918443
5.430,218.939,0.916710
5.440,219.109,0.900715
5.450,219.016,0.914135
5.460,218.739,0.919983
5.470,218.923,0.917816
5.480,218.921,0.926503
5.490,218.790,0.919683
5.500,218.818,0.918478
5.510,218.644,0.919266
5.520,218.577,0.911767
5.530,218.521,0.919167
5.540,218.561,0.925056
5.550,218.699,0.919257
5.560,218.536,0.925661
5.570,218.181,0.923000
5.580,218.228,0.920928
5.590,218.229,0.929506
5.600,218.383,0.925042
5.610,218.620,0.918836
5.620,218.254,0.917587
5.630,218.450,0.905419
5.640,218.696,0.910539
5.650,218.400,0.909870
5.660,218.201,0.913354
5.670,218.497,0.916740
5.680,218.445,0.914688
5.690,218.670,0.909057
5.700,218.687,0.915835
5.710,218.722,0.912302
5.720,218.824,0.912744
5.730,218.478,0.916860
5.740,218.654,0.910081
