time,frequency,confidence
0.000,660.356,0.016364
0.010,659.456,0.016208
0.020,659.254,0.058507
0.030,644.447,0.058995
0.040,634.180,0.024826
0.050,584.892,0.117196
0.060,589.816,0.138180
0.070,590.173,0.135588
0.080,591.051,0.151573
0.090,596.440,0.093610
0.100,597.042,0.080208
0.110,594.525,0.050847
0.120,602.596,0.065281
0.130,609.597,0.044723
0.140,614.720,0.052768
0.150,624.098,0.062650
0.160,635.986,0.102969
0.170,646.913,0.088729
0.180,658.093,0.051438
0.190,642.174,0.094065
0.200,579.289,0.107006
0.210,589.663,0.140541
0.220,594.280,0.164189
0.230,590.899,0.142168
0.240,589.615,0.153873
0.250,584.949,0.118281
0.260,595.735,0.094188
0.270,599.577,0.037755
0.280,556.542,0.031227
0.290,510.694,0.050766
0.300,466.011,0.071385
0.310,430.192,0.083505
0.320,397.710,0.088910
0.330,398.464,0.127267
0.340,398.957,0.151407
0.350,429.587,0.120065
0.360,432.374,0.030182
0.370,473.849,0.012486
0.380,534.581,0.160422
0.390,595.617,0.071168
0.400,592.717,0.099418
0.410,593.084,0.133086
0.420,590.682,0.200800
0.430,585.880,0.090755
0.440,587.832,0.077386
0.450,582.066,0.120098
0.460,589.685,0.102999
0.470,587.755,0.064025
0.480,588.796,0.068905
0.490,586.528,0.070890
0.500,586.551,0.070426
0.510,587.450,0.087020
0.520,590.702,0.129364
0.530,592.784,0.197829
0.540,588.844,0.250911
0.550,586.240,0.128039
0.560,585.926,0.069155
0.570,584.540,0.162562
0.580,584.579,0.170718
0.590,588.802,0.131346
0.600,588.279,0.124500
0.610,531.635,0.085840
0.620,464.688,0.097343
0.630,405.669,0.100417
0.640,365.030,0.090121
0.650,321.478,0.125890
0.660,310.358,0.200809
0.670,319.843,0.157243
0.680,341.647,0.224339
0.690,307.630,0.112987
0.700,275.635,0.055447
0.710,246.733,0.062163
0.720,243.531,0.133277
0.730,244.319,0.063269
0.740,244.087,0.089925
0.750,242.927,0.110095
0.760,240.076,0.063028
0.770,236.235,0.111216
0.780,235.430,0.164788
0.790,228.859,0.518583
0.800,223.028,0.435554
0.810,220.006,0.201199
0.820,217.989,0.133881
0.830,217.225,0.234574
0.840,216.486,0.142064
