time,frequency,confidence
0.000,654.010,0.044784
0.010,651.657,0.060969
0.020,650.829,0.092615
0.030,652.216,0.104250
0.040,653.702,0.097831
0.050,656.438,0.185617
0.060,638.579,0.123835
0.070,584.565,0.145193
0.080,592.491,0.135211
0.090,592.905,0.116799
0.100,593.177,0.181087
0.110,593.378,0.201087
0.120,593.392,0.106202
0.130,593.348,0.128861
0.140,596.460,0.134902
0.150,651.627,0.115013
0.160,650.933,0.092243
0.170,604.132,0.064951
0.180,595.565,0.060681
0.190,595.790,0.083642
0.200,597.458,0.138820
0.210,599.832,0.128974
0.220,598.399,0.090752
0.230,601.000,0.101208
0.240,607.801,0.044722
0.250,611.932,0.052484
0.260,616.030,0.082121
0.270,622.241,0.121355
0.280,628.889,0.158430
0.290,635.494,0.167666
0.300,640.723,0.115648
0.310,636.732,0.067403
0.320,698.696,0.023284
0.330,670.461,0.037185
0.340,643.095,0.097375
0.350,603.383,0.059281
0.360,587.694,0.044375
0.370,583.292,0.117239
0.380,583.710,0.127901
0.390,584.102,0.131353
0.400,588.711,0.106305
0.410,589.852,0.119546
0.420,651.723,0.124931
0.430,596.040,0.115839
0.440,598.287,0.100730
0.450,597.332,0.086290
0.460,596.222,0.100705
0.470,596.577,0.130374
0.480,597.087,0.120174
0.490,600.570,0.150095
0.500,599.473,0.142504
0.510,601.789,0.157592
0.520,599.312,0.089600
0.530,613.307,0.033033
0.540,621.552,0.051254
0.550,621.467,0.068290
0.560,628.821,0.052977
0.570,635.924,0.141602
0.580,637.772,0.108154
0.590,594.917,0.079118
0.600,593.486,0.106065
0.610,593.434,0.119666
0.620,589.457,0.120694
0.630,588.472,0.094681
0.640,588.411,0.107286
0.650,588.377,0.094407
0.660,626.524,0.068813
0.670,659.424,0.126842
0.680,659.165,0.114476
0.690,727.323,0.090563
0.700,853.294,0.117506
0.710,936.824,0.148642
0.720,943.431,0.140661
0.730,940.853,0.097574
0.740,938.103,0.044135
0.750,885.845,0.172180
0.760,787.611,0.204632
0.770,722.940,0.141179
0.780,680.040,0.101327
0.790,646.711,0.060418
0.800,639.965,0.064101
0.810,636.268,0.032045
0.820,637.377,0.081020
0.830,634.372,0.119276
0.840,595.327,0.193386
0.850,591.024,0.100791
0.860,562.250,0.089996
0.870,530.526,0.073265
0.880,504.417,0.061733
0.890,463.770,0.082893
0.900,441.395,0.028267
0.910,408.761,0.103501
0.920,395.955,0.469315
0.930,377.163,0.119343
0.940,360.321,0.060659
0.950,331.093,0.079661
0.960,316.637,0.110225
0.970,310.688,0.101925
0.980,312.245,0.108359
0.990,321.847,0.095998
1.000,295.340,0.065492
1.010,267.293,0.048858
1.020,245.508,0.076029
1.030,221.966,0.062323
1.040,202.511,0.075478
1.050,183.743,0.050526
1.060,161.721,0.025072
1.070,144.899,0.019356
1.080,133.842,0.013499
1.090,133.163,0.016957
1.100,133.143,0.046036
1.110,136.081,0.090632
1.120,137.797,0.087253
1.130,143.680,0.076915
1.140,135.129,0.065008
1.150,128.572,0.062345
1.160,120.070,0.102921
1.170,111.595,0.069717
1.180,106.863,0.109656
1.190,98.611,0.063997
1.200,86.718,0.055466
1.210,78.088,0.006813
1.220,69.434,0.017015
1.230,62.415,0.005585
1.240,57.974,0.005720
1.250,57.152,0.016763
1.260,54.309,0.018950
1.270,50.379,0.014681
1.280,45.959,0.016418
1.290,43.494,0.011878
1.300,40.245,0.028164
1.310,36.948,0.023300
1.320,35.438,0.054817
1.330,32.879,0.072727
1.340,32.544,0.138695
1.350,32.499,0.049830
1.360,32.615,0.025214
1.370,32.640,0.064760
1.380,32.540,0.020188
1.390,32.551,0.041661
1.400,32.226,0.058403
1.410,32.132,0.122801
1.420,32.241,0.059638
1.430,32.426,0.084836
1.440,32.330,0.005698
1.450,32.417,0.017166
1.460,32.447,0.029955
1.470,32.227,0.028306
1.480,32.544,0.020771
1.490,32.646,0.035938
1.500,32.590,0.078382
1.510,32.422,0.021615
1.520,32.430,0.043440
1.530,32.361,0.012688
1.540,32.460,0.017422
1.550,32.377,0.044275
1.560,32.381,0.028483
1.570,32.358,0.032558
1.580,32.543,0.044644
1.590,32.524,0.021433
1.600,32.405,0.076151
1.610,32.320,0.056215
1.620,32.392,0.029457
1.630,32.419,0.022545
1.640,32.564,0.078608
1.650,32.645,0.101031
1.660,32.548,0.101885
1.670,32.359,0.132647
1.680,32.297,0.084462
1.690,32.167,0.084930
1.700,32.410,0.148162
1.710,32.504,0.086895
1.720,32.508,0.243829
1.730,32.432,0.226892
1.740,32.363,0.037045
1.750,32.437,0.023694
1.760,32.505,0.038172
1.770,32.557,0.025703
1.780,32.515,0.089328
1.790,32.236,0.075542
1.800,32.547,0.026424
1.810,32.283,0.003561
1.820,32.306,0.008723
1.830,32.454,0.028468
1.840,33.218,0.047917
1.850,32.563,0.040567
1.860,32.423,0.014922
1.870,32.227,0.053261
1.880,32.142,0.049616
1.890,32.122,0.087232
1.900,32.104,0.109782
1.910,32.429,0.080787
1.920,32.505,0.108022
1.930,32.509,0.057834
1.940,32.470,0.043923
1.950,32.418,0.024503
1.960,32.354,0.024667
1.970,32.355,0.025770
1.980,32.487,0.033489
1.990,32.572,0.020124
2.000,32.592,0.027745
2.010,32.560,0.042587
2.020,32.518,0.036822
2.030,32.395,0.057177
2.040,32.379,0.083235
2.050,32.658,0.070605
2.060,32.230,0.030720
2.070,32.033,0.034194
2.080,32.178,0.024178
2.090,32.391,0.029524
2.100,32.447,0.022689
2.110,32.419,0.041157
2.120,32.349,0.084063
2.130,32.307,0.077044
2.140,32.349,0.079230
2.150,32.521,0.069112
2.160,32.587,0.057683
2.170,32.602,0.049742
2.180,32.596,0.106550
2.190,32.503,0.111081
2.200,32.472,0.093919
2.210,32.495,0.091885
2.220,32.576,0.086484
2.230,32.662,0.110256
2.240,32.633,0.179262
2.250,32.521,0.153161
2.260,32.384,0.203518
2.270,32.207,0.033444
2.280,32.185,0.074855
2.290,32.251,0.026463
2.300,32.229,0.021920
2.310,32.269,0.014160
2.320,32.368,0.044803
2.330,32.235,0.054742
2.340,32.259,0.015743
2.350,32.178,0.047675
2.360,32.461,0.035012
2.370,35.914,0.055147
2.380,38.606,0.201731
2.390,42.213,0.033950
2.400,47.336,0.091849
2.410,51.950,0.096594
2.420,56.830,0.023120
2.430,61.466,0.021928
2.440,68.712,0.008949
2.450,77.551,0.066626
2.460,84.314,0.070492
2.470,92.134,0.106506
2.480,104.513,0.095475
2.490,115.728,0.050310
2.500,113.488,0.067488
2.510,114.673,0.066291
2.520,114.853,0.117801
2.530,115.424,0.185925
2.540,114.664,0.120678
2.550,112.646,0.029702
2.560,111.541,0.040013
2.570,112.937,0.039527
2.580,115.131,0.033456
2.590,116.883,0.022811
2.600,117.419,0.021687
2.610,118.856,0.012513
2.620,119.117,0.079681
2.630,123.416,0.067298
2.640,123.857,0.102523
2.650,118.339,0.139254
2.660,128.247,0.061901
2.670,129.976,0.086825
2.680,131.382,0.095289
2.690,130.941,0.105013
2.700,132.294,0.064331
2.710,131.875,0.014322
2.720,133.561,0.045593
2.730,131.606,0.006537
2.740,130.763,0.028639
2.750,130.567,0.040017
2.760,131.607,0.026642
2.770,133.352,0.028641
2.780,131.536,0.036131
2.790,129.963,0.081666
2.800,131.322,0.088302
2.810,131.660,0.089483
2.820,126.710,0.133817
2.830,117.170,0.105414
2.840,114.183,0.009817
2.850,114.811,0.053176
2.860,115.930,0.075767
2.870,114.956,0.054861
2.880,129.296,0.061359
2.890,130.389,0.049867
2.900,129.593,0.071191
2.910,131.376,0.096150
2.920,130.987,0.191661
2.930,132.282,0.027862
2.940,121.353,0.064384
2.950,119.971,0.019356
2.960,118.228,0.025285
2.970,118.393,0.030609
2.980,115.677,0.020646
2.990,116.777,0.009882
3.000,120.475,0.067425
3.010,122.556,0.114915
3.020,127.556,0.089722
3.030,130.082,0.102346
3.040,132.146,0.077863
3.050,138.862,0.111403
3.060,142.473,0.147904
3.070,147.132,0.135974
3.080,154.451,0.059788
3.090,159.600,0.011668
3.100,164.867,0.069099
3.110,171.214,0.145678
3.120,175.313,0.122720
3.130,173.199,0.093294
3.140,165.530,0.075388
3.150,158.567,0.119586
3.160,158.673,0.126017
3.170,146.578,0.055372
3.180,136.312,0.048816
3.190,129.183,0.181122
3.200,129.512,0.025723
3.210,129.505,0.046104
3.220,130.070,0.045219
3.230,130.394,0.039914
3.240,132.699,0.026623
3.250,134.474,0.033942
3.260,136.793,0.042182
3.270,136.190,0.036925
3.280,137.999,0.023737
3.290,135.751,0.051279
3.300,133.181,0.041522
3.310,132.923,0.026110
3.320,131.164,0.027512
3.330,131.315,0.079113
3.340,132.183,0.049941
3.350,131.395,0.069904
3.360,115.645,0.035797
3.370,112.746,0.034565
3.380,108.735,0.079531
3.390,106.288,0.105422
3.400,106.158,0.122313
3.410,106.953,0.071265
3.420,104.749,0.065910
3.430,101.294,0.062958
3.440,99.300,0.097617
3.450,98.820,0.107741
3.460,99.922,0.096508
3.470,89.037,0.040377
3.480,83.136,0.049983
3.490,76.407,0.074405
3.500,68.561,0.110236
3.510,63.392,0.108565
3.520,57.688,0.059033
3.530,52.317,0.049765
3.540,47.085,0.037012
3.550,43.000,0.044107
3.560,38.951,0.091876
3.570,36.448,0.145883
3.580,33.696,0.196006
3.590,32.502,0.066262
3.600,32.474,0.134402
3.610,32.340,0.062638
3.620,32.830,0.049372
3.630,32.605,0.043999
3.640,32.546,0.033036
3.650,32.419,0.038707
3.660,32.363,0.034691
3.670,32.482,0.072087
3.680,32.504,0.086970
3.690,32.966,0.066902
3.700,36.003,0.021141
3.710,33.440,0.021092
3.720,32.513,0.136310
3.730,32.455,0.059726
3.740,32.543,0.059336
3.750,32.477,0.062059
