time,frequency,confidence
2.450,125.984,0.074068
2.460,128.055,0.108576
2.470,129.282,0.102369
2.480,130.249,0.085436
2.490,131.042,0.139119
2.500,133.318,0.045913
2.510,135.125,0.060136
2.520,135.924,0.127299
2.530,137.952,0.061394
2.540,139.570,0.084205
2.550,141.956,0.128295
2.560,143.437,0.132940
2.570,145.199,0.074165
2.580,147.383,0.072527
2.590,138.574,0.132794
2.600,128.341,0.054123
2.610,119.484,0.095611
2.620,115.433,0.091411
2.630,107.821,0.213284
2.640,107.285,0.417905
2.650,107.190,0.327927
2.660,107.793,0.154040
2.670,108.496,0.102259
2.680,106.707,0.022723
2.690,108.895,0.028517
2.700,111.467,0.087608
2.710,114.101,0.286770
2.720,116.529,0.362181
2.730,118.017,0.098342
2.740,121.200,0.168228
2.750,125.996,0.152809
2.760,127.977,0.197666
2.770,128.735,0.183441
2.780,132.184,0.100346
2.790,136.779,0.050808
2.800,139.715,0.181805
2.810,142.617,0.360834
2.820,135.371,0.266654
2.830,130.537,0.533296
2.840,128.577,0.584339
2.850,126.020,0.584321
2.860,124.912,0.413977
2.870,123.682,0.603784
2.880,122.258,0.508318
2.890,120.983,0.530847
2.900,122.192,0.402409
2.910,123.648,0.347993
2.920,123.540,0.128646
2.930,122.770,0.102892
2.940,119.394,0.089440
2.950,116.916,0.140088
2.960,116.602,0.146242
2.970,117.686,0.154104
2.980,118.411,0.152692
2.990,119.124,0.224539
3.000,118.354,0.155512
3.010,117.255,0.204929
3.020,119.065,0.106325
3.030,123.663,0.223290
3.040,123.390,0.278818
3.050,120.401,0.121132
3.060,122.387,0.094128
3.070,126.928,0.119020
3.080,128.025,0.146640
3.090,128.794,0.044370
3.100,133.037,0.063331
3.110,137.522,0.050081
3.120,142.318,0.104004
3.130,148.338,0.080912
3.140,155.734,0.046623
3.150,161.141,0.079991
3.160,147.244,0.116619
3.170,145.530,0.160779
3.180,139.838,0.166242
3.190,137.504,0.741557
3.200,137.351,0.874805
3.210,137.856,0.872559
3.220,137.782,0.851873
3.230,137.218,0.763302
3.240,134.716,0.731663
3.250,132.825,0.614524
3.260,130.641,0.365210
3.270,121.481,0.132214
3.280,120.765,0.120149
3.290,121.582,0.270650
3.300,121.330,0.197923
3.310,122.052,0.063476
3.320,122.819,0.053492
3.330,123.230,0.073278
3.340,122.420,0.111946
3.350,121.733,0.039004
3.360,121.133,0.016464
3.370,121.152,0.078771
3.380,120.795,0.318569
3.390,121.044,0.509454
3.400,120.325,0.344194
3.410,120.909,0.151825
3.420,120.860,0.091487
3.430,120.024,0.148801
3.440,120.207,0.141255
3.450,116.367,0.123549
3.460,115.615,0.055223
3.470,115.279,0.069223
3.480,116.913,0.027236
3.490,124.776,0.013586
3.500,135.757,0.160199
3.510,138.587,0.348178
3.520,137.860,0.778654
3.530,137.935,0.880709
3.540,137.802,0.927374
3.550,137.327,0.856882
3.560,138.828,0.627789
3.570,149.479,0.431460
3.580,154.139,0.127165
3.590,155.335,0.285618
3.600,155.326,0.585831
3.610,157.202,0.396179
3.620,158.100,0.206357
3.630,163.969,0.070621
3.640,170.385,0.032495
3.650,181.290,0.039175
3.660,188.796,0.196809
3.670,198.980,0.163467
3.680,209.228,0.124381
