time,frequency,confidence
0.000,665.934,0.399452
0.010,666.189,0.293978
0.020,659.388,0.208454
0.030,656.617,0.202027
0.040,655.632,0.050895
0.050,650.982,0.114858
0.060,654.427,0.093540
0.070,659.419,0.056891
0.080,658.023,0.055019
0.090,635.438,0.092871
0.100,604.163,0.067951
0.110,584.137,0.134297
0.120,584.958,0.185947
0.130,589.305,0.174537
0.140,588.818,0.117559
0.150,589.096,0.110537
0.160,587.958,0.059161
0.170,588.655,0.145464
0.180,588.394,0.137852
0.190,587.886,0.071266
0.200,587.232,0.090552
0.210,592.274,0.058147
0.220,597.352,0.060890
0.230,599.569,0.106569
0.240,598.513,0.020511
0.250,594.398,0.020863
0.260,594.152,0.057288
0.270,595.760,0.103561
0.280,597.867,0.073714
0.290,624.555,0.055016
0.300,646.124,0.106049
0.310,658.168,0.108764
0.320,653.437,0.044360
0.330,654.059,0.076516
0.340,655.060,0.060613
0.350,652.077,0.055263
0.360,658.667,0.124317
0.370,663.195,0.098092
0.380,662.790,0.089929
0.390,658.252,0.053090
0.400,657.848,0.089390
0.410,641.102,0.124076
0.420,639.855,0.099549
0.430,643.005,0.207611
0.440,642.071,0.158847
0.450,642.160,0.162291
0.460,641.099,0.038567
0.470,650.398,0.146570
0.480,641.322,0.037524
0.490,639.365,0.044250
0.500,648.435,0.091739
0.510,654.602,0.059662
0.520,657.608,0.083793
0.530,670.296,0.083187
0.540,664.338,0.054897
0.550,664.396,0.043207
0.560,665.303,0.158397
0.570,665.149,0.076442
0.580,656.624,0.054397
0.590,656.674,0.098296
0.600,660.263,0.131250
0.610,659.184,0.098745
0.620,645.822,0.129642
0.630,652.895,0.204071
0.640,665.532,0.152585
0.650,693.647,0.096272
0.660,737.641,0.018553
0.670,766.693,0.027907
0.680,778.472,0.048912
0.690,773.431,0.028734
0.700,753.746,0.033292
0.710,724.479,0.059661
0.720,704.140,0.067869
0.730,684.140,0.231176
0.740,675.488,0.195945
0.750,661.492,0.058305
0.760,658.486,0.046754
0.770,659.550,0.046140
0.780,659.683,0.090290
0.790,657.329,0.165091
0.800,657.256,0.141777
0.810,659.192,0.067626
0.820,656.927,0.076432
0.830,655.557,0.102248
0.840,645.180,0.102956
0.850,584.480,0.117052
0.860,585.206,0.174079
0.870,588.552,0.127437
0.880,584.957,0.094626
0.890,589.828,0.088163
0.900,651.525,0.101149
0.910,649.047,0.055825
0.920,640.610,0.055219
0.930,641.107,0.033272
0.940,643.680,0.074417
0.950,644.205,0.120356
0.960,645.724,0.096981
0.970,644.479,0.121204
0.980,584.189,0.117847
0.990,593.150,0.130262
1.000,593.042,0.112198
1.010,593.826,0.127185
1.020,650.803,0.141121
1.030,658.996,0.146296
1.040,603.845,0.053651
1.050,570.035,0.058056
1.060,520.939,0.019991
1.070,472.586,0.056266
1.080,441.527,0.042815
1.090,400.730,0.093616
1.100,377.027,0.080267
1.110,347.524,0.045384
1.120,367.573,0.047172
1.130,390.708,0.106638
1.140,386.837,0.302386
1.150,385.839,0.220328
1.160,389.652,0.065905
1.170,392.594,0.158753
1.180,395.933,0.046260
1.190,420.979,0.051501
1.200,457.698,0.083135
1.210,498.121,0.238780
1.220,537.173,0.074102
1.230,582.769,0.072141
1.240,587.823,0.095720
1.250,616.808,0.073595
1.260,651.191,0.067915
1.270,638.291,0.093400
1.280,625.008,0.088156
1.290,640.805,0.132015
1.300,645.137,0.137792
1.310,590.557,0.128196
1.320,645.989,0.133830
1.330,641.789,0.179086
1.340,644.888,0.074052
1.350,645.733,0.164713
1.360,647.139,0.250362
1.370,643.338,0.029115
1.380,644.721,0.076283
1.390,641.395,0.056105
1.400,642.297,0.093490
1.410,634.323,0.062159
1.420,632.374,0.055548
1.430,634.590,0.075795
1.440,633.475,0.102224
1.450,634.493,0.063608
1.460,636.492,0.071684
1.470,643.145,0.069224
1.480,645.862,0.075705
1.490,651.588,0.053728
1.500,656.659,0.150518
1.510,666.522,0.325867
1.520,677.251,0.139964
1.530,690.056,0.040669
1.540,698.204,0.042907
1.550,703.231,0.050433
1.560,720.233,0.034542
1.570,737.376,0.012294
1.580,756.130,0.036739
1.590,781.896,0.076395
1.600,790.532,0.063834
1.610,780.207,0.102206
1.620,778.665,0.076761
1.630,765.268,0.084943
1.640,740.938,0.231721
1.650,715.384,0.205704
1.660,700.365,0.145310
1.670,683.267,0.066502
1.680,669.632,0.090799
1.690,660.401,0.102910
1.700,654.749,0.048467
1.710,649.319,0.044491
1.720,644.740,0.094903
1.730,633.946,0.080347
1.740,584.768,0.121240
1.750,589.261,0.126638
1.760,615.000,0.098116
1.770,646.020,0.105311
1.780,672.700,0.155144
1.790,706.076,0.089817
1.800,751.653,0.028942
1.810,786.308,0.028937
1.820,851.725,0.068190
1.830,899.812,0.082802
1.840,938.199,0.030136
1.850,938.661,0.032716
1.860,934.920,0.060985
1.870,938.001,0.059519
1.880,938.543,0.032589
1.890,942.699,0.052510
1.900,949.324,0.046994
1.910,873.977,0.048210
1.920,813.815,0.056380
1.930,778.649,0.084624
1.940,783.161,0.161795
1.950,788.672,0.251110
1.960,783.005,0.139079
1.970,767.763,0.064946
1.980,739.585,0.087709
1.990,715.047,0.089102
2.000,700.253,0.035305
2.010,695.753,0.052937
2.020,683.980,0.071470
2.030,673.075,0.102851
2.040,664.018,0.113979
2.050,657.345,0.077812
2.060,658.633,0.069899
2.070,652.949,0.052546
2.080,643.151,0.058881
2.090,640.507,0.086348
2.100,630.441,0.289978
2.110,632.305,0.074311
2.120,635.242,0.037886
2.130,634.042,0.067845
2.140,639.909,0.098624
2.150,596.729,0.087747
2.160,655.839,0.075378
2.170,659.309,0.087704
2.180,623.554,0.065027
2.190,628.187,0.037001
2.200,628.611,0.011914
2.210,629.807,0.140964
2.220,632.047,0.055363
2.230,638.518,0.026253
2.240,638.454,0.049378
2.250,635.495,0.038026
2.260,633.158,0.093713
2.270,634.623,0.091492
2.280,644.317,0.087723
2.290,590.077,0.081558
2.300,589.236,0.060329
2.310,595.137,0.032854
2.320,605.459,0.060781
2.330,613.288,0.128514
2.340,616.034,0.084275
2.350,625.727,0.089703
2.360,636.430,0.076176
2.370,651.029,0.044322
2.380,658.973,0.074557
2.390,698.856,0.050201
2.400,778.391,0.044467
2.410,751.079,0.067771
2.420,721.528,0.066592
2.430,693.460,0.096010
2.440,675.685,0.205100
2.450,648.616,0.075240
2.460,634.351,0.100659
2.470,634.411,0.083989
2.480,646.463,0.036350
2.490,642.240,0.021139
2.500,631.980,0.034135
2.510,623.266,0.048666
2.520,621.048,0.034142
2.530,616.694,0.029727
2.540,605.980,0.068661
2.550,597.339,0.070486
2.560,588.600,0.031068
2.570,590.079,0.027043
2.580,589.949,0.057365
2.590,587.977,0.101809
2.600,588.605,0.062783
2.610,583.507,0.049827
2.620,595.313,0.055627
2.630,604.411,0.073554
2.640,609.849,0.051041
2.650,616.296,0.059593
2.660,625.304,0.081089
2.670,635.334,0.098329
2.680,638.910,0.102377
2.690,644.284,0.089066
2.700,646.201,0.116827
2.710,645.847,0.126068
2.720,702.950,0.097345
2.730,776.356,0.069089
2.740,786.743,0.089994
2.750,780.048,0.151135
2.760,784.509,0.570471
2.770,776.365,0.665951
2.780,757.454,0.184345
2.790,745.219,0.056160
2.800,730.252,0.063079
2.810,717.693,0.063343
2.820,706.962,0.057921
2.830,701.370,0.054979
2.840,710.527,0.152145
2.850,694.693,0.195883
2.860,678.487,0.168167
2.870,666.900,0.061403
2.880,659.954,0.009181
2.890,655.779,0.033562
2.900,656.701,0.031245
2.910,657.035,0.061570
2.920,657.867,0.091754
2.930,639.930,0.109369
2.940,596.596,0.114000
2.950,649.427,0.085235
2.960,660.031,0.086341
2.970,660.422,0.067154
2.980,632.564,0.068823
2.990,635.104,0.114681
3.000,636.470,0.105519
3.010,620.827,0.103397
3.020,598.406,0.077748
3.030,591.802,0.056837
3.040,605.748,0.068632
3.050,624.954,0.049608
3.060,637.514,0.030149
3.070,638.283,0.048966
3.080,634.287,0.160137
3.090,627.908,0.085728
3.100,626.479,0.090043
3.110,629.449,0.062786
3.120,639.846,0.074123
3.130,645.898,0.133252
3.140,648.317,0.161724
3.150,647.947,0.035050
3.160,611.114,0.160070
3.170,584.456,0.116826
3.180,586.657,0.174078
3.190,588.127,0.149891
3.200,589.167,0.262737
3.210,594.119,0.164134
3.220,605.513,0.113132
3.230,610.760,0.108905
3.240,621.239,0.062525
3.250,628.237,0.063632
3.260,635.705,0.114546
3.270,639.995,0.068387
3.280,647.518,0.079638
3.290,646.605,0.117095
3.300,603.557,0.068402
3.310,608.419,0.055835
3.320,622.816,0.059887
3.330,639.379,0.038987
3.340,649.837,0.064170
3.350,658.017,0.073942
3.360,656.675,0.055787
3.370,625.116,0.072943
3.380,588.522,0.087952
3.390,587.854,0.079000
3.400,611.954,0.033505
3.410,651.209,0.080931
3.420,650.441,0.088129
3.430,648.620,0.063248
3.440,646.871,0.079540
3.450,649.494,0.068338
3.460,647.001,0.081591
3.470,647.531,0.099263
3.480,645.959,0.101680
3.490,647.616,0.150855
3.500,595.796,0.115816
3.510,584.689,0.175643
3.520,585.161,0.149271
3.530,585.219,0.089937
3.540,581.956,0.120282
3.550,584.536,0.087754
3.560,652.028,0.074637
3.570,654.862,0.052261
3.580,645.887,0.047026
3.590,638.391,0.055856
3.600,632.897,0.061771
3.610,628.091,0.058890
3.620,632.505,0.081896
3.630,637.573,0.171052
3.640,632.878,0.049848
3.650,631.538,0.096753
3.660,589.870,0.137747
3.670,586.258,0.220218
3.680,588.613,0.172641
3.690,563.290,0.172093
3.700,536.126,0.161079
3.710,580.303,0.140594
3.720,581.950,0.155525
3.730,584.300,0.095998
3.740,584.140,0.089162
3.750,587.165,0.043940
3.760,589.343,0.069028
3.770,594.195,0.179383
3.780,597.074,0.134333
3.790,604.907,0.079481
3.800,613.589,0.074427
3.810,623.363,0.139825
3.820,630.701,0.125217
3.830,636.479,0.147745
3.840,700.067,0.047079
3.850,660.175,0.063039
3.860,626.726,0.057945
3.870,588.867,0.091264
3.880,589.315,0.096882
3.890,590.698,0.082878
3.900,595.774,0.113256
3.910,657.470,0.086804
3.920,653.178,0.122894
3.930,648.859,0.210879
3.940,644.663,0.044872
3.950,636.848,0.022388
3.960,632.165,0.073795
3.970,633.672,0.144481
3.980,636.217,0.101897
3.990,635.443,0.042253
4.000,632.404,0.027232
4.010,633.042,0.044222
4.020,635.167,0.075484
4.030,638.689,0.134971
4.040,642.635,0.162093
4.050,590.918,0.102887
4.060,591.397,0.083735
4.070,588.291,0.106872
4.080,588.148,0.046047
4.090,589.266,0.055783
4.100,591.706,0.083550
4.110,593.048,0.074498
4.120,598.176,0.021875
4.130,607.326,0.011120
4.140,616.004,0.054311
4.150,618.821,0.097580
4.160,622.250,0.065940
4.170,629.568,0.054094
4.180,637.201,0.051955
4.190,643.176,0.083796
4.200,647.929,0.117268
4.210,656.709,0.130929
4.220,658.173,0.085368
4.230,722.452,0.024246
4.240,644.624,0.144144
4.250,583.336,0.084074
4.260,594.289,0.133415
4.270,585.671,0.146646
4.280,594.175,0.140507
4.290,596.746,0.123749
4.300,598.980,0.086253
4.310,600.074,0.079419
4.320,603.265,0.071074
4.330,632.580,0.071376
4.340,635.232,0.078545
4.350,637.689,0.089424
4.360,638.943,0.048824
4.370,636.864,0.347019
4.380,631.443,0.285451
4.390,626.997,0.058856
4.400,636.170,0.039453
4.410,645.211,0.122403
4.420,650.600,0.096522
4.430,656.585,0.141586
4.440,642.624,0.148359
4.450,639.609,0.126210
4.460,589.926,0.160694
4.470,597.114,0.131332
4.480,626.100,0.103506
4.490,658.329,0.088392
4.500,635.662,0.096312
4.510,645.580,0.102411
4.520,585.215,0.064620
4.530,594.253,0.103387
4.540,628.257,0.140204
4.550,653.917,0.070062
4.560,670.243,0.066116
4.570,687.902,0.073607
4.580,706.437,0.053601
4.590,750.020,0.052708
4.600,765.570,0.112091
4.610,787.593,0.120466
4.620,831.089,0.122140
4.630,869.219,0.100690
4.640,910.382,0.058097
4.650,943.061,0.018765
4.660,938.782,0.012359
4.670,868.528,0.041665
4.680,799.731,0.052985
4.690,771.244,0.053782
4.700,734.738,0.145040
4.710,693.053,0.153110
4.720,660.482,0.038627
4.730,618.405,0.079653
4.740,586.838,0.115272
4.750,589.547,0.107801
4.760,589.250,0.099154
4.770,583.936,0.095766
4.780,588.671,0.082296
4.790,652.262,0.081381
4.800,602.484,0.066274
4.810,591.805,0.051221
4.820,585.006,0.037191
4.830,577.881,0.036848
4.840,537.227,0.035531
4.850,531.850,0.039293
4.860,532.795,0.114530
4.870,537.266,0.144863
4.880,546.405,0.205333
4.890,557.771,0.120889
4.900,565.289,0.056025
4.910,570.651,0.035541
4.920,573.896,0.095564
4.930,575.373,0.056241
4.940,579.995,0.054079
4.950,588.601,0.033990
4.960,595.972,0.055038
4.970,631.523,0.111820
4.980,634.171,0.075277
4.990,635.507,0.056635
