time,frequency,confidence
0.000,642.375,0.109916
0.010,594.657,0.116083
0.020,594.166,0.114861
0.030,589.115,0.105778
0.040,589.841,0.122994
0.050,590.206,0.131551
0.060,590.957,0.063818
0.070,586.445,0.021084
0.080,588.176,0.066477
0.090,593.822,0.023459
0.100,598.705,0.089715
0.110,600.300,0.095840
0.120,612.796,0.138949
0.130,621.728,0.127018
0.140,629.659,0.124742
0.150,636.372,0.096066
0.160,637.824,0.160517
0.170,632.070,0.113089
0.180,593.582,0.162310
0.190,593.597,0.159823
0.200,590.494,0.078213
0.210,589.161,0.042393
0.220,596.524,0.017460
0.230,596.851,0.021131
0.240,606.088,0.059901
0.250,610.799,0.024536
0.260,610.969,0.050446
0.270,613.085,0.042015
0.280,624.539,0.066587
0.290,634.616,0.070064
0.300,642.684,0.085451
0.310,647.605,0.044174
0.320,652.555,0.029106
0.330,658.257,0.054374
0.340,660.599,0.054712
0.350,662.588,0.065549
0.360,663.037,0.086381
0.370,659.506,0.093576
0.380,657.566,0.065994
0.390,634.474,0.118537
0.400,634.480,0.136929
0.410,585.278,0.121023
0.420,586.038,0.173326
0.430,593.356,0.134145
0.440,594.398,0.098593
0.450,594.245,0.116553
0.460,651.331,0.137038
0.470,659.665,0.131455
0.480,661.008,0.179447
0.490,654.414,0.063367
0.500,641.129,0.064317
0.510,629.696,0.142654
0.520,617.441,0.046005
0.530,618.931,0.038856
0.540,622.286,0.091186
0.550,626.005,0.067074
0.560,644.748,0.127692
0.570,589.996,0.071931
0.580,585.554,0.077943
0.590,588.580,0.088758
0.600,584.792,0.180004
0.610,588.751,0.118936
0.620,585.321,0.119560
0.630,589.229,0.087617
0.640,595.676,0.105004
0.650,657.214,0.114182
0.660,661.753,0.081367
0.670,656.562,0.075128
0.680,648.083,0.058139
0.690,641.037,0.025000
0.700,639.120,0.024437
0.710,643.489,0.015361
0.720,641.400,0.039442
0.730,646.258,0.066027
0.740,647.667,0.107593
0.750,646.452,0.078997
0.760,646.773,0.092810
0.770,644.107,0.061968
0.780,644.059,0.102650
0.790,646.682,0.131811
0.800,638.002,0.123143
0.810,633.166,0.108874
0.820,632.493,0.109229
