time,frequency,confidence
0.000,215.013,0.056127
0.010,212.558,0.046015
0.020,210.783,0.081387
0.030,207.275,0.232013
0.040,229.466,0.211493
0.050,224.601,0.597462
0.060,227.617,0.726471
0.070,227.375,0.779705
0.080,225.915,0.742653
0.090,223.290,0.735793
0.100,221.463,0.686318
0.110,220.013,0.556258
0.120,217.017,0.125632
0.130,208.645,0.431233
0.140,206.584,0.514841
0.150,208.388,0.638401
0.160,209.005,0.797645
0.170,207.295,0.861534
0.180,208.207,0.836478
0.190,211.733,0.779831
0.200,214.023,0.713923
0.210,212.965,0.416696
0.220,206.096,0.258251
0.230,223.143,0.119268
0.240,241.043,0.354336
0.250,247.601,0.232307
0.260,244.305,0.249142
0.270,221.414,0.201223
0.280,224.241,0.196174
0.290,204.161,0.285064
0.300,205.292,0.504982
0.310,205.020,0.610522
0.320,206.314,0.494766
0.330,210.759,0.483934
0.340,220.231,0.427010
0.350,221.745,0.533824
0.360,218.533,0.471982
0.370,212.833,0.616435
0.380,210.766,0.769764
0.390,212.325,0.746436
0.400,213.355,0.754099
0.410,210.578,0.466290
0.420,211.432,0.297626
0.430,211.936,0.331804
0.440,208.894,0.523960
0.450,206.610,0.732131
0.460,205.644,0.689746
0.470,203.414,0.277016
0.480,190.441,0.100709
0.490,202.776,0.104811
0.500,207.252,0.297152
0.510,208.015,0.721943
0.520,210.011,0.738506
0.530,210.753,0.790962
0.540,210.697,0.687835
0.550,208.465,0.440065
0.560,204.983,0.178666
0.570,204.428,0.130848
0.580,219.041,0.133164
0.590,219.860,0.141193
0.600,220.142,0.053294
0.610,218.178,0.038743
0.620,211.020,0.063898
0.630,205.006,0.071258
0.640,203.898,0.089866
0.650,203.720,0.102679
0.660,205.579,0.102591
0.670,208.406,0.107345
0.680,214.655,0.129038
0.690,220.312,0.133366
0.700,208.900,0.142662
0.710,208.456,0.358042
0.720,205.511,0.685208
0.730,205.699,0.642483
0.740,212.101,0.305351
0.750,212.973,0.464057
0.760,217.798,0.379164
0.770,217.053,0.182753
0.780,208.115,0.141191
0.790,195.612,0.147664
0.800,203.482,0.190409
0.810,203.073,0.216587
0.820,202.061,0.220988
0.830,199.472,0.421844
0.840,198.492,0.369436
0.850,203.303,0.083067
0.860,204.145,0.100687
0.870,204.514,0.068485
0.880,217.226,0.029617
0.890,239.362,0.047832
0.900,242.380,0.133944
0.910,253.083,0.034192
0.920,275.784,0.046345
0.930,284.942,0.070825
0.940,288.486,0.042606
0.950,291.497,0.116683
0.960,290.341,0.127623
0.970,289.895,0.145656
0.980,289.852,0.093661
0.990,288.679,0.131279
1.000,289.094,0.051431
1.010,287.879,0.064014
1.020,289.359,0.107557
1.030,289.299,0.037964
1.040,291.232,0.028062
1.050,288.912,0.038969
1.060,287.383,0.053550
1.070,300.422,0.020816
1.080,311.461,0.015817
1.090,326.189,0.065853
1.100,344.315,0.096578
1.110,379.423,0.153686
1.120,392.691,0.171820
1.130,393.215,0.316634
1.140,373.185,0.166688
1.150,330.914,0.083761
1.160,304.327,0.192144
1.170,292.291,0.042483
1.180,292.032,0.019591
1.190,292.541,0.057559
1.200,291.945,0.051011
1.210,290.186,0.057833
1.220,289.223,0.036371
1.230,286.029,0.094231
1.240,285.800,0.025824
1.250,295.073,0.045150
1.260,304.849,0.104510
1.270,314.127,0.088723
1.280,331.432,0.054478
1.290,335.743,0.067413
1.300,343.357,0.075656
1.310,353.512,0.060474
1.320,374.833,0.117541
1.330,389.454,0.140852
1.340,393.415,0.287223
1.350,395.756,0.254685
1.360,396.223,0.106410
1.370,396.151,0.265499
1.380,396.478,0.081758
1.390,395.152,0.427282
1.400,394.795,0.158507
1.410,369.075,0.096457
1.420,322.832,0.093749
1.430,298.064,0.088202
1.440,295.868,0.081164
1.450,292.582,0.074153
1.460,289.120,0.117285
1.470,288.280,0.169272
1.480,272.986,0.047005
1.490,251.098,0.051135
1.500,242.876,0.086381
1.510,232.891,0.050545
1.520,221.965,0.033538
1.530,221.461,0.016266
1.540,221.340,0.009909
1.550,214.239,0.052929
1.560,213.717,0.221414
1.570,215.244,0.606530
1.580,217.708,0.701553
1.590,217.908,0.698032
1.600,218.663,0.603104
1.610,217.607,0.435497
1.620,217.322,0.347136
1.630,214.084,0.287075
